AccessLogEntry{AccessTime=2016-01-18T04:17+0000, UserName=Alex, IDnumber=6681234, BuildingCode=Ba0, FloorName=F1, RoomNumber=1, PermissionGranted=false}
AccessLogEntry{AccessTime=2016-01-18T04:17+0000, UserName=Bob, IDnumber=8980951, BuildingCode=Ba0, FloorName=F1, RoomNumber=1, PermissionGranted=false}
AccessLogEntry{AccessTime=2016-01-18T04:17+0000, UserName=Derek, IDnumber=6599713, BuildingCode=Ba0, FloorName=F1, RoomNumber=1, PermissionGranted=false}
AccessLogEntry{AccessTime=2016-01-18T04:17+0000, UserName=Edward, IDnumber=3722063, BuildingCode=Ba0, FloorName=F1, RoomNumber=1, PermissionGranted=true}
AccessLogEntry{AccessTime=2016-01-18T04:17+0000, UserName=Emily, IDnumber=118315, BuildingCode=Ba0, FloorName=F1, RoomNumber=1, PermissionGranted=false}
AccessLogEntry{AccessTime=2016-01-18T04:17+0000, UserName=Mark, IDnumber=7629558, BuildingCode=Ba0, FloorName=F1, RoomNumber=1, PermissionGranted=false}
AccessLogEntry{AccessTime=2016-01-18T04:17+0000, UserName=Matt, IDnumber=3680861, BuildingCode=Ba0, FloorName=F1, RoomNumber=1, PermissionGranted=true}
AccessLogEntry{AccessTime=2016-01-18T04:17+0000, UserName=Tilly, IDnumber=4833655, BuildingCode=Ba0, FloorName=F1, RoomNumber=1, PermissionGranted=false}
AccessLogEntry{AccessTime=2016-01-18T04:17+0000, UserName=Tim, IDnumber=2208636, BuildingCode=Ba0, FloorName=F1, RoomNumber=1, PermissionGranted=false}
AccessLogEntry{AccessTime=2016-01-18T04:17+0000, UserName=Alex, IDnumber=6681234, BuildingCode=Ba0, FloorName=F1, RoomNumber=2, PermissionGranted=false}
AccessLogEntry{AccessTime=2016-01-18T04:17+0000, UserName=Bob, IDnumber=8980951, BuildingCode=Ba0, FloorName=F1, RoomNumber=2, PermissionGranted=false}
AccessLogEntry{AccessTime=2016-01-18T04:17+0000, UserName=Derek, IDnumber=6599713, BuildingCode=Ba0, FloorName=F1, RoomNumber=2, PermissionGranted=false}
AccessLogEntry{AccessTime=2016-01-18T04:17+0000, UserName=Edward, IDnumber=3722063, BuildingCode=Ba0, FloorName=F1, RoomNumber=2, PermissionGranted=true}
AccessLogEntry{AccessTime=2016-01-18T04:17+0000, UserName=Mark, IDnumber=7629558, BuildingCode=Ba0, FloorName=F1, RoomNumber=2, PermissionGranted=false}
AccessLogEntry{AccessTime=2016-01-18T04:17+0000, UserName=Matt, IDnumber=3680861, BuildingCode=Ba0, FloorName=F1, RoomNumber=2, PermissionGranted=true}
AccessLogEntry{AccessTime=2016-01-18T04:17+0000, UserName=Tilly, IDnumber=4833655, BuildingCode=Ba0, FloorName=F1, RoomNumber=2, PermissionGranted=false}
AccessLogEntry{AccessTime=2016-01-18T04:17+0000, UserName=Tim, IDnumber=2208636, BuildingCode=Ba0, FloorName=F1, RoomNumber=2, PermissionGranted=false}
AccessLogEntry{AccessTime=2016-01-18T04:17+0000, UserName=Alex, IDnumber=6681234, BuildingCode=Ba0, FloorName=F1, RoomNumber=3, PermissionGranted=false}
AccessLogEntry{AccessTime=2016-01-18T04:17+0000, UserName=Bob, IDnumber=8980951, BuildingCode=Ba0, FloorName=F1, RoomNumber=3, PermissionGranted=false}
AccessLogEntry{AccessTime=2016-01-18T04:17+0000, UserName=Emily, IDnumber=118315, BuildingCode=Ba0, FloorName=F1, RoomNumber=3, PermissionGranted=false}
AccessLogEntry{AccessTime=2016-01-18T04:17+0000, UserName=Matt, IDnumber=3680861, BuildingCode=Ba0, FloorName=F1, RoomNumber=3, PermissionGranted=true}
AccessLogEntry{AccessTime=2016-01-18T04:17+0000, UserName=Tilly, IDnumber=4833655, BuildingCode=Ba0, FloorName=F1, RoomNumber=3, PermissionGranted=false}
AccessLogEntry{AccessTime=2016-01-18T04:17+0000, UserName=Edward, IDnumber=3722063, BuildingCode=Ba0, FloorName=F1, RoomNumber=4, PermissionGranted=true}
AccessLogEntry{AccessTime=2016-01-18T04:17+0000, UserName=Mark, IDnumber=7629558, BuildingCode=Ba0, FloorName=F1, RoomNumber=4, PermissionGranted=false}
AccessLogEntry{AccessTime=2016-01-18T04:17+0000, UserName=Tilly, IDnumber=4833655, BuildingCode=Ba0, FloorName=F1, RoomNumber=4, PermissionGranted=false}
AccessLogEntry{AccessTime=2016-01-18T04:17+0000, UserName=Tim, IDnumber=2208636, BuildingCode=Ba0, FloorName=F1, RoomNumber=4, PermissionGranted=false}
AccessLogEntry{AccessTime=2016-01-18T04:17+0000, UserName=Emily, IDnumber=118315, BuildingCode=Ba0, FloorName=F1, RoomNumber=4, PermissionGranted=false}
AccessLogEntry{AccessTime=2016-01-18T04:17+0000, UserName=Derek, IDnumber=6599713, BuildingCode=Ba0, FloorName=F1, RoomNumber=4, PermissionGranted=false}
